旧绝对路径,新绝对路径,归类理由,日期依据,提交依据,内容是否改变,处理状态
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v2/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第02轮/,test2 初步检查 v2（输出目录修复后重跑）,2026-09-18（mtime）,b600a03（manifest project_commit）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v2/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第02轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,b600a03（manifest project_commit）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v2/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第02轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/identity-clean-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检_e984a59_第01轮/,等价自检（identity，干净工作树；611→611 零差异）,2026-09-18（mtime）,e984a59（manifest project_commit）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/identity-clean-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检_e984a59_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,e984a59（manifest project_commit）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/identity-clean-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检_e984a59_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-smoke-test1-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_9a5f7e4_第01轮/,test1 初步检查（smoke）,2026-09-18（mtime）,9a5f7e4（pair-swap 版本）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-smoke-test1-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_9a5f7e4_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,9a5f7e4（pair-swap 版本）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-smoke-test1-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_9a5f7e4_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-official-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_pairswap公开评测_9a5f7e4_第01轮/,公开评测（旧 pair-swap 版本；test1 510→431）,2026-09-18（mtime）,9a5f7e4（feat: 将 pair-swap 特殊分支折叠进 PMUX）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-official-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_pairswap公开评测_9a5f7e4_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,9a5f7e4（feat: 将 pair-swap 特殊分支折叠进 PMUX）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/9a5f7e4-official-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_pairswap公开评测_9a5f7e4_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-smoke-test1-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_4988eaa_第01轮/,test1 初步检查（smoke）,2026-09-18（mtime）,4988eaa（Pattern B）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-smoke-test1-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_4988eaa_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,4988eaa（Pattern B）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-smoke-test1-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_4988eaa_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-official-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternB公开评测_4988eaa_第01轮/,公开评测（Pattern B 加入后；611→526）,2026-09-18（mtime）,4988eaa（Pattern B 通用性回归）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-official-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternB公开评测_4988eaa_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,4988eaa（Pattern B 通用性回归）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-official-v1/validation_verdict_zh.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternB公开评测_4988eaa_第01轮/00_本轮验证结论.md,供人阅读报告：该轮验证结论（2026-09-19 添加）,2026-09-18（mtime）,4988eaa（Pattern B 通用性回归）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/4988eaa-official-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternB公开评测_4988eaa_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-smoke-test1-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_6c5fcd0_第01轮/,test1 初步检查（smoke）,2026-09-18（mtime）,6c5fcd0（稳定版前置）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-smoke-test1-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_6c5fcd0_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,6c5fcd0（稳定版前置）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-smoke-test1-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_6c5fcd0_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-official-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_稳定版公开评测_6c5fcd0_第01轮/,公开评测（稳定版；611→526，达 10% 未达 20%）,2026-09-18（mtime）,6c5fcd0（团队文档称“后续稳定版本”）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-official-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_稳定版公开评测_6c5fcd0_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,6c5fcd0（团队文档称“后续稳定版本”）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-official-v1/validation_verdict_zh.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_稳定版公开评测_6c5fcd0_第01轮/00_本轮验证结论.md,供人阅读报告：该轮验证结论（2026-09-19 添加）,2026-09-18（mtime）,6c5fcd0（团队文档称“后续稳定版本”）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/6c5fcd0-official-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_稳定版公开评测_6c5fcd0_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-smoke-test1-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_244baaf_第01轮/,test1 初步检查（smoke）,2026-09-18（mtime）,244baaf（Pattern D）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-smoke-test1-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_244baaf_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,244baaf（Pattern D）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-smoke-test1-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test1初步检查_244baaf_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-official-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternD公开评测_244baaf_第01轮/,公开评测（Pattern D；611→526；官方口径 GUARD-AWARE=0）,2026-09-18（mtime）,244baaf（守卫条件驱动的比较器位宽缩减）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-official-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternD公开评测_244baaf_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,244baaf（守卫条件驱动的比较器位宽缩减）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-official-v1/validation_verdict_zh.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternD公开评测_244baaf_第01轮/00_本轮验证结论.md,供人阅读报告：该轮验证结论（2026-09-19 添加）,2026-09-18（mtime）,244baaf（守卫条件驱动的比较器位宽缩减）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/244baaf-official-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_PatternD公开评测_244baaf_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/,独立验证全套证据（官方+盲测+千节点+开发侧对比+Pattern D 定向复测）,2026-09-18（主轮次；Pattern D 复测 2026-09-19 追加）,244baaf（manifest/报告）,不变（仅目录改名；3 个报告内引用修正）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/meta/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/01_版本与环境证据_meta/,版本与环境证据分类,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/official/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/02_公开测试结果_public/,公开测试结果分类（含完整官方评测副本）,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/blind_tests/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/03_隐藏风格测试_blind_tests/,盲测分类,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/scale_1000/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/04_千节点压力验证_scale_1000/,千节点压力分类,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/failures/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/05_失败与异常证据_failures/,失败证据分类（本轮为空目录）,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/附加证据_开发侧基准对比/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/06_开发侧对比证据_comparison/,开发侧对比证据分类,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/PMUX_最新Commit独立验证报告.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/00_本轮验证结论.md,供人阅读报告：轮次最终结论,2026-09-18,244baaf,引用修正（路径）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/PMUX_隐藏测试结果.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/隐藏风格测试报告.md,供人阅读报告：隐藏风格盲测结果,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/official/summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/02_公开测试结果_public/公开资源汇总.md,嵌套公开评测副本内汇总报告（与公开评测轮次同规则）,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/official/validation_verdict_zh.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/02_公开测试结果_public/00_本轮验证结论.md,嵌套公开评测副本内验证结论（同规则）,2026-09-18,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/附加分析_开发侧基准对比.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/附加分析_开发侧基准对比.md,供人阅读报告：开发侧对比分析（中文名保留）,2026-09-18,244baaf,引用修正（路径）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/PatternD_test3_定向复测报告.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/PatternD_test3_定向复测报告.md,供人阅读报告：定向复测（中文名保留）,2026-09-19,244baaf,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1.tar.gz,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/90_历史压缩归档_archives/244baaf-independent-v1.tar.gz,历史压缩归档（原名与内容不变）,2026-09-19（打包 mtime）,244baaf,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation/244baaf-independent-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_PatternD_244baaf_第01轮/轮次说明.md,新增简短轮次说明,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/,独立验证（黑盒；公开+千节点+盲测；团队交付包）,2026-09-18,6c5fcd0（manifest/报告）,不变（仅目录改名；3 个报告内引用修正）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/official/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/02_公开测试结果_public/,公开测试结果分类（含完整官方评测副本）,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/blind_tests/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/03_隐藏风格测试_blind_tests/,盲测分类,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/scale_1000/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/04_千节点压力验证_scale_1000/,千节点压力分类,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/PMUX_最新Commit独立验证报告.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/00_本轮验证结论.md,供人阅读报告：轮次最终结论,2026-09-18,6c5fcd0,引用修正（路径）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/PMUX_隐藏测试结果.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/隐藏风格测试报告.md,供人阅读报告：隐藏风格盲测结果,2026-09-18,6c5fcd0,引用修正（路径）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/blind_summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/隐藏风格测试汇总.md,供人阅读报告：盲测汇总,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/scale_1000_summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/千节点压力验证汇总.md,供人阅读报告：千节点汇总（CSV 保留原名）,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/official/6c5fcd0-official-v1/summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/02_公开测试结果_public/6c5fcd0-official-v1/公开资源汇总.md,嵌套公开评测副本内汇总报告（同规则）,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/official/6c5fcd0-official-v1/validation_verdict_zh.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/02_公开测试结果_public/6c5fcd0-official-v1/00_本轮验证结论.md,嵌套公开评测副本内验证结论（同规则）,2026-09-18,6c5fcd0,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/independent_validation_6c5fcd0/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-18_稳定版_6c5fcd0_第01轮/轮次说明.md,新增简短轮次说明,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/basic_mux.il,/home/fpga/fpga/pmux-opt/results/04_早期调试_early_debug/日期待确认_basic_mux初测_提交待确认_第01轮/basic_mux.il,由 tests/basic_mux.v 生成的手工 netlist 输出（来源可判、日期与提交待确认）,日期待确认（仅 mtime 2026-09-12，可能受复制影响）,提交待确认（无记录）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/pmux_basic.il,/home/fpga/fpga/pmux-opt/results/04_早期调试_early_debug/日期待确认_pmux_basic初测_提交待确认_第01轮/pmux_basic.il,由 tests/pmux_basic.sv 生成的手工 netlist 输出（来源可判、日期与提交待确认）,日期待确认（仅 mtime 2026-09-16，可能受复制影响）,提交待确认（无记录）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/pmux_perf.txt,/home/fpga/fpga/pmux-opt/results/04_早期调试_early_debug/日期待确认_pmux_basic初测_提交待确认_第01轮/pmux_perf.txt,「Measure PMUX Performance」任务输出（/usr/bin/time，来源可判、日期与提交待确认）,日期待确认（仅 mtime 2026-09-16，可能受复制影响）,提交待确认（无记录）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/pmux_stat.json,/home/fpga/fpga/pmux-opt/results/04_早期调试_early_debug/日期待确认_pmux_basic初测_提交待确认_第01轮/pmux_stat.json,「Generate PMUX Stats」任务输出（stat_pmux.ys，来源可判、日期与提交待确认）,日期待确认（仅 mtime 2026-09-16，可能受复制影响）,提交待确认（无记录）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/00_目录导航.md（新增）,/home/fpga/fpga/pmux-opt/results/00_目录导航.md,顶层中文导航（分类说明、轮次索引、词汇表、后续规则）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/90_整理记录_management/2026-09-20_212729/（新增）,/home/fpga/fpga/pmux-opt/results/90_整理记录_management/2026-09-20_212729/,整理批次：计划、清单、映射、核对报告,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/,H1 轮次整体迁入独立验证分类（名称含日期/版本/提交/轮号）,2026-09-20（MANIFEST.txt 执行日期与判决文件）,0c0ee40（H1，父 244baaf）,目录改名；7 个脚本/报告引用修正,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/input/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/01_公开测试输入_input/,公开测试输入（test1-4.v）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/source/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/02_算法源码_source/,算法源码（h1.cc / parent.cc）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/plugin/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/03_编译插件_plugin/,编译插件（h1.so / parent.so）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/meta/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/04_版本与环境证据_meta/,版本、构建、环境证据,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/public/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/05_公开测试结果_public/,公开测试 24 组结果（P/R1 × test1-4 × baseline/parent/h1）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/formal-public/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/06_公开功能验证_formal_public/,公开功能验证（16 组 + 报告）,2026-09-20,0c0ee40,不变（仅改名）,已完成
