case,chain,rc,state,proved,total,failed,failed_detail,error
test3,c2_stage,0,PASS,6,6,0,,
test3,c3a_rtl_opt,2,UNPROVEN,3,4,1,test3.sr=UNKNOWN,
test3,c3b_rtl_base,2,UNPROVEN,3,4,1,test3.sr=UNKNOWN,
test3,c4a_rtl_opt_mapped,2,COUNTEREXAMPLE_REQUIRES_REVIEW,1,4,3,test3.sr=UNKNOWN; test3.rw=FAIL; test3.gpioout=UNKNOWN,
test3,c4b_rtl_base_mapped,2,COUNTEREXAMPLE_REQUIRES_REVIEW,1,4,3,test3.sr=UNKNOWN; test3.rw=FAIL; test3.gpioout=UNKNOWN,
test3,c5_mapped_pair,1,TOOL_OR_CONFIG_ERROR,0,0,0,,"conflicting matches for gold bit \gpioout [6]: \gpioout [6] vs \gpioout [1]
Failed to partition design. For details see "
test4,c1_local,0,PASS,5,5,0,,
test4,c2_stage,0,PASS,5,5,0,,
test4,c3a_rtl_opt,0,PASS,5,5,0,,
test4,c3b_rtl_base,0,PASS,5,5,0,,
test4,c4a_rtl_opt_mapped,2,UNPROVEN,4,5,1,test4.dataout=UNKNOWN,
test4,c4b_rtl_base_mapped,2,UNPROVEN,4,5,1,test4.dataout=UNKNOWN,
test4,c5_mapped_pair,1,TOOL_OR_CONFIG_ERROR,0,0,0,,A problem occurred during equivalence check.
