case,chain,partition,status_v3,status_v2,changed_vs_v2,status_r3,changed_vs_r3,base_fail_len_v3,base_fail_len_v2,induct_success_v3,partition_il_init_attrs
test1,c4a_rtl_opt_mapped,test1.q6,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4a_rtl_opt_mapped,test1.q7,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4a_rtl_opt_mapped,test1.state,PASS,FAIL,YES,FAIL,YES,,2,True,5
test1,c4b_rtl_base_mapped,test1.i0,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i1,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i2,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i3,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i4,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i5,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i6,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.i7,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.inter0007_out,PASS,FAIL,YES,FAIL,YES,,2,True,2
test1,c4b_rtl_base_mapped,test1.inter0008_out.0,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.1,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.10,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.11,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.2,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.3,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.4,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.5,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.6,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.7,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.8,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0008_out.9,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.0,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.1,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.10,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.11,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.2,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.3,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.4,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.5,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.6,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.7,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.8,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.inter0009_out.9,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,1
test1,c4b_rtl_base_mapped,test1.por6_out,PASS,FAIL,YES,FAIL,YES,,2,True,2
test1,c4b_rtl_base_mapped,test1.q0,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q1,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q2,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q3,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q4,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q5,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q6,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.q7,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,12
test1,c4b_rtl_base_mapped,test1.state,PASS,FAIL,YES,FAIL,YES,,2,True,5
test2,c4a_rtl_opt_mapped,test2.out,PASS,PASS,,PASS,,,,True,0
test2,c4b_rtl_base_mapped,test2.out,PASS,PASS,,PASS,,,,True,0
test3,c4a_rtl_opt_mapped,test3.gpioout,UNKNOWN,UNKNOWN,,UNKNOWN,,,,False,3
test3,c4a_rtl_opt_mapped,test3.rw,FAIL,FAIL,,FAIL,,1,1,False,1
test3,c4a_rtl_opt_mapped,test3.sr,UNKNOWN,UNKNOWN,,UNKNOWN,,,,False,7
test3,c4a_rtl_opt_mapped,test3.sr_out,PASS,PASS,,PASS,,,,True,1
test3,c4b_rtl_base_mapped,test3.gpioout,UNKNOWN,UNKNOWN,,UNKNOWN,,,,False,8
test3,c4b_rtl_base_mapped,test3.rw,FAIL,FAIL,,FAIL,,1,1,False,1
test3,c4b_rtl_base_mapped,test3.sr,UNKNOWN,UNKNOWN,,UNKNOWN,,,,False,7
test3,c4b_rtl_base_mapped,test3.sr_out,PASS,PASS,,PASS,,,,True,1
test4,c4a_rtl_opt_mapped,test4.data_dn,PASS,PASS,,PASS,,,,True,1
test4,c4a_rtl_opt_mapped,test4.data_dp,PASS,PASS,,PASS,,,,True,1
test4,c4a_rtl_opt_mapped,test4.datain_5bis7,PASS,PASS,,PASS,,,,True,1
test4,c4a_rtl_opt_mapped,test4.dataout,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,6
test4,c4a_rtl_opt_mapped,test4.only_5b,PASS,PASS,,PASS,,,,True,1
test4,c4b_rtl_base_mapped,test4.data_dn,PASS,PASS,,PASS,,,,True,1
test4,c4b_rtl_base_mapped,test4.data_dp,PASS,PASS,,PASS,,,,True,1
test4,c4b_rtl_base_mapped,test4.datain_5bis7,PASS,PASS,,PASS,,,,True,1
test4,c4b_rtl_base_mapped,test4.dataout,PASS,UNKNOWN,YES,UNKNOWN,YES,,,True,6
test4,c4b_rtl_base_mapped,test4.only_5b,PASS,PASS,,PASS,,,,True,1
